Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53714.1 |virion spike glycoprotein precursor,0.5859,0.4141,58.59%,41.41%,-0.2932
AIG96436.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96445.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96454.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96463.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96472.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96481.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96490.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96499.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96508.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96517.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96526.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96535.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96544.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96553.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96562.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96571.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96580.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96589.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96598.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96607.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96616.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96625.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96634.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIR94008.1 |virion spike glycoprotein precursor,0.74112,0.25888,74.11%,25.89%,-0.6507
AIW65950.1 |virion spike glycoprotein precursor,0.74408,0.25592,74.41%,25.59%,-0.6561
AIY27576.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIY29182.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AIZ50391.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIZ50400.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIZ50409.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIZ50418.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIZ50427.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AJF38895.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKA43780.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKT08840.1 |virion spike glycoprotein precursor,0.74408,0.25592,74.41%,25.59%,-0.6561
AKU75159.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75168.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75177.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75186.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75195.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75204.1 |virion spike glycoprotein precursor,0.73225,0.26775,73.22%,26.78%,-0.6343
AKU75213.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75222.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75231.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75240.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75249.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75276.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75285.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75294.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75303.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75312.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75321.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75330.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75339.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75350.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75357.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75366.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75375.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75384.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75393.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75411.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75420.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75429.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75438.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75456.1 |virion spike glycoprotein precursor,0.73225,0.26775,73.22%,26.78%,-0.6343
AKU75465.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75474.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75483.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75492.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75501.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75510.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75519.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75537.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75546.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75564.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75573.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AKU75582.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALD19447.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
ALF04542.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALF04551.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALH21186.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
ALH21195.1 |virion spike glycoprotein precursor,0.73817,0.26183,73.82%,26.18%,-0.6453
ALH21454.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALH21463.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALN12279.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALO75889.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82615.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82624.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82633.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82642.1 |virion spike glycoprotein precursor,0.72633,0.27367,72.63%,27.37%,-0.6232
ALR82651.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82660.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82669.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82678.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82687.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82696.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82705.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82714.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82723.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82732.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82741.1 |virion spike glycoprotein precursor,0.72337,0.27663,72.34%,27.66%,-0.6176
ALR82750.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82759.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82768.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82777.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82786.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82795.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82804.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82813.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82822.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82831.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82840.1 |virion spike glycoprotein precursor,0.73225,0.26775,73.22%,26.78%,-0.6343
ALR82849.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82858.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82867.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82876.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82885.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82894.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82903.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82912.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82921.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82930.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82939.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82948.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82957.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82966.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82975.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82984.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR82993.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83002.1 |virion spike glycoprotein precursor,0.72781,0.27219,72.78%,27.22%,-0.626
ALR83011.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83020.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83029.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83038.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83047.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83056.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83065.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83074.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83083.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83092.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83101.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83110.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83119.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83128.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83137.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ALR83146.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84407.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84418.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84427.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84436.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84445.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84454.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84463.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84472.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84481.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84490.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84499.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84508.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84517.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84526.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84535.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84544.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84553.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84562.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84571.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84580.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84589.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84598.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84607.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84616.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84625.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84634.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84643.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84652.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84661.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84670.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84679.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84688.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84697.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84706.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84715.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84724.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84733.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84742.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84751.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84760.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84769.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84778.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84787.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84796.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84805.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84814.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84823.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84832.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84841.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
APW84850.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AQS26701.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AQS26710.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AQS26719.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AQS26728.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AQS26737.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ARC95297.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ARC95306.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
ASJ82195.1 |virion spike glycoprotein precursor,0.66518,0.33482,66.52%,33.48%,-0.4966
ASJ82208.1 |virion spike glycoprotein precursor,0.6503,0.3497,65.03%,34.97%,-0.4622
ATY51099.1 |spike glycoprotein,0.73077,0.26923,73.08%,26.92%,-0.6316
ATY51108.1 |spike glycoprotein,0.73225,0.26775,73.22%,26.78%,-0.6343
ATY51117.1 |spike glycoprotein,0.73077,0.26923,73.08%,26.92%,-0.6316
ATY51126.1 |spike glycoprotein,0.73077,0.26923,73.08%,26.92%,-0.6316
ATY51135.1 |spike glycoprotein,0.73225,0.26775,73.22%,26.78%,-0.6343
ATY51144.1 |spike glycoprotein,0.73817,0.26183,73.82%,26.18%,-0.6453
AVQ09622.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AVQ09631.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AVQ09640.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AVQ09649.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AVQ09658.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AWK96571.1 |spike glycoprotein,0.73225,0.26775,73.22%,26.78%,-0.6343
AWK96580.1 |spike glycoprotein,0.71893,0.28107,71.89%,28.11%,-0.6091
AWK96589.1 |spike glycoprotein,0.70118,0.29882,70.12%,29.88%,-0.5738
AWK96598.1 |spike glycoprotein,0.73669,0.26331,73.67%,26.33%,-0.6426
AWK96607.1 |spike glycoprotein,0.73669,0.26331,73.67%,26.33%,-0.6426
AWK96616.1 |spike glycoprotein,0.74112,0.25888,74.11%,25.89%,-0.6507
AWK96625.1 |spike glycoprotein,0.69527,0.30473,69.53%,30.47%,-0.5617
AWK96634.1 |spike glycoprotein,0.73964,0.26036,73.96%,26.04%,-0.648
AWK96643.1 |spike glycoprotein,0.71746,0.28254,71.75%,28.25%,-0.6062
AWU50990.2 |spike glycoprotein,0.73373,0.26627,73.37%,26.63%,-0.6371
AWZ62327.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AXH37629.1 |spike glycoprotein,0.73373,0.26627,73.37%,26.63%,-0.6371
AXP07381.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07390.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07399.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07408.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07417.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07426.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07435.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07444.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07453.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07462.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07471.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07480.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07489.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AXP07498.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AXP07507.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AYI50307.1 |spike glycoprotein,0.69231,0.30769,69.23%,30.77%,-0.5556
AYI50316.1 |spike glycoprotein,0.69231,0.30769,69.23%,30.77%,-0.5556
AYI50382.1 |spike glycoprotein,0.69231,0.30769,69.23%,30.77%,-0.5556
AYN74049.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74058.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74067.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74076.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74085.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74094.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74103.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74112.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74121.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74130.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74139.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74148.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74157.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74175.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYN74184.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
AYW17071.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
BAB69006.1 |virion spike glycoprotein precursor,0.66765,0.33235,66.77%,33.23%,-0.5022
NP_066246.1 |spike glycoprotein,0.74112,0.25888,74.11%,25.89%,-0.6507
NP_690583.1 |spike glycoprotein,0.66174,0.33826,66.17%,33.83%,-0.4888
QCF40467.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40476.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40485.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40494.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40503.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40512.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40530.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40539.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QCF40548.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
QDC12558.1 |spike glycoprotein,0.71893,0.28107,71.89%,28.11%,-0.6091
QEU56416.1 |spike glycoprotein GP,0.73077,0.26923,73.08%,26.92%,-0.6316
QMS54662.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
QNC49533.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49542.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49560.1 |spike glycoprotein,0.69379,0.30621,69.38%,30.62%,-0.5586
QNC49578.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49596.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49605.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49614.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49641.1 |spike glycoprotein,0.69379,0.30621,69.38%,30.62%,-0.5586
QNC49650.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49668.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
