Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53712.1 |VP35 matrix protein,0.99088,0.00912,99.09%,0.91%,-0.9908
AHX24666.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11799.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11808.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11817.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11826.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11835.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11844.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11853.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11862.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11871.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11880.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11889.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11898.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11907.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11916.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIE11925.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95885.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95886.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95894.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95895.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95903.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95904.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95912.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95913.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95921.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95922.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95930.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95931.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95939.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95940.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95948.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95949.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95957.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95958.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95966.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95967.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95975.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95976.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95984.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95985.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG95993.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG95994.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96002.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96003.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96011.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96012.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96020.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96021.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96029.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96030.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96038.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96039.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96047.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96048.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96056.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96057.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96065.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96066.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96074.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96075.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96083.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96084.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96092.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96093.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96101.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96102.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96110.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96111.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96119.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96120.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96128.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96129.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96137.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96138.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96146.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96147.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96155.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96156.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96164.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96165.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96173.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96174.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96182.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96183.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96191.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96192.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96200.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96201.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96209.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96210.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96218.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96219.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96227.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96228.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96236.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96237.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96245.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96246.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96254.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96255.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96263.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96264.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96272.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96273.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96281.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96282.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96290.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96291.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96299.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96300.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96308.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96309.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96317.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96318.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96326.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96327.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96335.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96336.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96344.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96345.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96353.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96354.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96362.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96363.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96371.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96372.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96380.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96381.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96389.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96390.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96398.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96399.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96407.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96408.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96416.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96417.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96425.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96426.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96434.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96435.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96443.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96444.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96452.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96453.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96461.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96462.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96470.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96471.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96479.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96480.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96488.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96489.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96497.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96498.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96506.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96507.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96515.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96516.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96524.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96525.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96533.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96534.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96542.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96543.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96551.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96552.1 |matrix protein,0.80368,0.19632,80.37%,19.63%,-0.7557
AIG96560.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96561.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96569.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96570.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96578.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96579.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96587.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96588.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96596.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96597.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96605.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96606.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96614.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96615.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96623.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96624.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIG96632.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIG96633.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIR94005.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
AIW65948.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIW65949.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIY27574.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIY27575.1 |VP40 matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIY29180.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIY29181.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIZ50389.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIZ50390.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIZ50398.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIZ50399.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIZ50407.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIZ50408.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIZ50416.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIZ50417.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AIZ50425.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AIZ50426.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AJF38893.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AJF38894.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AKA43779.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AKA59359.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AKB09535.1 |matrix protein VP40,0.89264,0.10736,89.26%,10.74%,-0.8797
AKB09544.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
AKB09553.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
AKB09562.1 |matrix protein VP40,0.80061,0.19939,80.06%,19.94%,-0.751
AKI84273.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
AKT08838.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
AKT08839.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALD19446.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
ALF04540.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
ALF04541.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALF04549.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
ALF04550.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALH21185.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
ALH21194.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
ALH21227.1 |matrix protein,0.84356,0.15644,84.36%,15.64%,-0.8145
ALH21453.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALH21462.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALL26374.1 |matrix protein,0.89264,0.10736,89.26%,10.74%,-0.8797
ALN12277.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
ALN12278.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALO75887.1 |VP35 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
ALO75888.1 |matrix protein,0.80982,0.19018,80.98%,19.02%,-0.7652
ALR82614.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82623.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82632.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82641.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82650.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82659.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82668.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82677.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82686.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82695.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82704.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82713.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82722.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82731.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82740.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82749.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82758.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82767.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82776.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82785.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82794.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82803.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82812.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82821.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82830.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82839.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82848.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82857.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82866.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82875.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82884.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82893.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82902.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82911.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82920.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82929.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82938.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82947.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82956.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82965.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82974.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82983.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR82992.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83001.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83010.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83019.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83028.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83037.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83046.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83055.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83064.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83073.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83082.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83091.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83100.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83109.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83118.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83127.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83136.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALR83145.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
ALT19652.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19661.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19670.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19679.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19688.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19697.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19706.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19715.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19724.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19733.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19742.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19751.1 |matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
ALT19760.1 |matrix protein VP40,0.80675,0.19325,80.67%,19.33%,-0.7605
ALT19769.1 |matrix protein VP40,0.80061,0.19939,80.06%,19.94%,-0.751
ALT19778.1 |matrix protein VP40,0.89264,0.10736,89.26%,10.74%,-0.8797
APW84406.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84412.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84416.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84417.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84425.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84426.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84434.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84435.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84443.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84444.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84452.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84453.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84461.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84462.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84470.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84471.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84479.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84480.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84488.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84489.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84497.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84498.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
APW84506.1 |VP40 matrix protein,0.64412,0.35588,64.41%,35.59%,-0.4475
APW84507.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
