Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53712.1|VP35 matrix protein,0.79027,0.20973,79.03%,20.97%,-0.7346
AAU43885.1|matrix protein,0.60736,0.39264,60.74%,39.26%,-0.3535
AAV48576.1|matrix protein,0.66163,0.33837,66.16%,33.84%,-0.4886
ABX75366.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
ABY75323.1|matrix protein,0.60736,0.39264,60.74%,39.26%,-0.3535
ABY75327.1|minor matrix protein,0.81275,0.18725,81.27%,18.73%,-0.7696
ACR33189.1|matrix protein,0.60736,0.39264,60.74%,39.26%,-0.3535
ACT22786.1|matrix protein VP40,0.6435,0.3565,64.35%,35.65%,-0.446
ACT22799.1|truncated matrix protein VP40,0.73333,0.26667,73.33%,26.67%,-0.6364
ACT22801.1|matrix protein VP40,0.67372,0.32628,67.37%,32.63%,-0.5157
AFP28226.1|matrix protein,0.60736,0.39264,60.74%,39.26%,-0.3535
AGB56677.1|matrix protein,0.60736,0.39264,60.74%,39.26%,-0.3535
AGC02885.1|matrix protein VP40,0.6435,0.3565,64.35%,35.65%,-0.446
AGC02893.1|matrix protein VP40,0.63746,0.36254,63.75%,36.25%,-0.4313
AHX24648.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AHX24657.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AHX24666.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11799.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11808.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11817.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11826.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11835.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11844.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11853.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11862.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11871.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11880.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11889.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11898.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11907.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11916.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIE11925.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95885.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95886.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95894.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95895.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95903.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95904.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95912.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95913.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95921.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95922.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95930.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95931.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95939.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95940.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95948.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95949.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95957.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95958.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95966.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95967.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95975.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95976.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95984.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95985.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG95993.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG95994.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96002.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96003.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96011.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96012.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96020.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96021.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96029.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96030.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96038.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96039.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96047.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96048.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96056.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96057.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96065.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96066.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96074.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96075.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96083.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96084.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96092.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96093.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96101.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96102.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96110.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96111.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96119.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96120.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96128.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96129.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96137.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96138.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96146.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96147.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96155.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96156.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96164.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96165.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96173.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96174.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96182.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96183.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96191.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96192.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96200.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96201.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96209.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96210.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96218.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96219.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96227.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96228.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96236.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96237.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96245.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96246.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96254.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96255.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96263.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96264.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96272.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96273.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96281.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96282.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96290.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96291.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96299.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96300.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96308.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96309.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96317.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96318.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96326.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96327.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96335.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96336.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96344.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96345.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96353.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96354.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96362.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96363.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96371.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96372.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96380.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96381.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96389.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96390.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96398.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96399.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96407.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96408.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96416.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96417.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96425.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96426.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96434.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96435.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96443.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96444.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96452.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96453.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96461.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96462.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96470.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96471.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96479.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96480.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96488.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96489.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96497.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96498.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96506.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96507.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96515.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96516.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96524.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96525.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96533.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96534.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96542.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96543.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96551.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96552.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96560.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96561.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96569.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96570.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96578.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96579.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96587.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96588.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96596.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96597.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96605.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96606.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96614.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96615.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96623.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96624.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIG96632.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIG96633.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIR94005.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
AIW65948.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIW65949.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIY27574.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIY27575.1|VP40 matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIY29180.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIY29181.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIZ50389.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIZ50390.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIZ50398.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIZ50399.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIZ50407.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIZ50408.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIZ50416.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIZ50417.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AIZ50425.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AIZ50426.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AJF38893.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AJF38894.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AKA43779.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AKA59359.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
AKB09535.1|matrix protein VP40,0.60736,0.39264,60.74%,39.26%,-0.3535
AKB09544.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
AKB09553.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
AKB09562.1|matrix protein VP40,0.59202,0.40798,59.2%,40.8%,-0.3109
AKI84273.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
AKT08838.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
AKT08839.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALD19446.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
ALF04540.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
ALF04541.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALF04549.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
ALF04550.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALH21185.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
ALH21194.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
ALH21227.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALH21453.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALH21462.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALL26374.1|matrix protein,0.60736,0.39264,60.74%,39.26%,-0.3535
ALN12277.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
ALN12278.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALO75887.1|VP35 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
ALO75888.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82614.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82623.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82632.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82641.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82650.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82659.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82668.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82677.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82686.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82695.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82704.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82713.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82722.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82731.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82740.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82749.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82758.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82767.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82776.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82785.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82794.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82803.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82812.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82821.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82830.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82839.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82848.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82857.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82866.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82875.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82884.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82893.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82902.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82911.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82920.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82929.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82938.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82947.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82956.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82965.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82974.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82983.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR82992.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83001.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83010.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83019.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83028.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83037.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83046.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83055.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83064.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83073.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83082.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83091.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83100.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83109.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83118.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83127.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83136.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALR83145.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
ALT19652.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19661.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19670.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19679.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19688.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19697.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19706.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19715.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19724.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19733.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19742.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19751.1|matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
ALT19760.1|matrix protein VP40,0.61043,0.38957,61.04%,38.96%,-0.3618
ALT19769.1|matrix protein VP40,0.59202,0.40798,59.2%,40.8%,-0.3109
ALT19778.1|matrix protein VP40,0.60736,0.39264,60.74%,39.26%,-0.3535
APW84406.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84412.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84416.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84417.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84425.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84426.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84434.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84435.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84443.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84444.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84452.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84453.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84461.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84462.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84470.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84471.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84479.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84480.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
APW84488.1|VP40 matrix protein,0.54706,0.45294,54.71%,45.29%,-0.172
APW84489.1|matrix protein,0.60123,0.39877,60.12%,39.88%,-0.3367
