Naziv_proteina,frakcijska_razlika_A,frakcijska_razlika_C,frakcijska_razlika_D,frakcijska_razlika_E,frakcijska_razlika_F,frakcijska_razlika_G,frakcijska_razlika_H,frakcijska_razlika_I,frakcijska_razlika_K,frakcijska_razlika_L,frakcijska_razlika_M,frakcijska_razlika_N,frakcijska_razlika_P,frakcijska_razlika_Q,frakcijska_razlika_R,frakcijska_razlika_S,frakcijska_razlika_T,frakcijska_razlika_V,frakcijska_razlika_W,frakcijska_razlika_Y
AIG96445.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96454.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96463.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96472.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96481.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96490.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96499.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96508.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96517.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96526.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96535.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96544.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96553.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96562.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96571.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96580.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96589.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96598.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96607.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96616.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96625.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96634.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIR94008.1 ___virion spike glycoprotein precursor,-0.2871,0.0,-0.147,-0.1115,4.4733,0.6811,-0.6872,2.714,0.2845,1.9321,-0.8697,-0.3577,-0.4136,-0.0715,1.1893,-0.7439,-0.4396,0.3194,0,4.4733
AIW65950.1 ___virion spike glycoprotein precursor,-0.3528,0.0,-0.1345,-0.0479,10.1074,0.7058,-0.6474,2.5702,0.1901,1.5502,-0.8678,-0.4182,-0.4446,-0.0579,1.0628,-0.7166,-0.4255,0.438,0,1.7769
AIY27576.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIY29182.1 ___virion spike glycoprotein precursor,-0.3176,0.0,-0.057,-0.2353,2.8898,0.8585,-0.6158,2.8898,0.0565,1.065,-0.8559,-0.3661,-0.3949,0.0265,0.8729,-0.763,-0.3741,0.5127,0,2.0254
AIZ50391.1 ___virion spike glycoprotein precursor,-0.3697,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7537,-0.3915,0.4706,0,1.9412
AIZ50400.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIZ50409.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIZ50418.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIZ50427.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AJF38895.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AJY53714.1 ___virion spike glycoprotein precursor,0.0623,8.3927,0.0623,-0.4036,6.0445,0.9869,0.1741,4.166,-0.1129,1.9352,0.3698,-0.5842,-0.7007,-0.4782,7.2186,-0.59,-0.5887,5.6531,0,1.6091
AKA43780.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AKT08840.1 ___virion spike glycoprotein precursor,-0.3528,0.0,-0.1345,-0.1345,10.1074,0.7058,-0.6474,2.5702,0.3601,1.5502,-0.8678,-0.4182,-0.4446,-0.0579,1.5785,-0.7264,-0.4255,0.438,0,1.7769
AKU75159.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75168.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.2566,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75177.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75186.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75195.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75204.1 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,1.521,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3697,0.4181,0,1.9412
AKU75213.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75222.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AKU75231.1 ___virion spike glycoprotein precursor,-0.3366,0.0,0.0084,-0.2566,4.6723,0.6425,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75240.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.2566,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,1.2689,-0.7696,-0.3915,0.4706,0,1.9412
AKU75249.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AKU75276.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.7815,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75285.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.7815,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75294.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.7815,0.208,1.3109,-0.8599,-0.3557,-0.4118,0.1405,0.6206,-0.7619,-0.3915,0.3072,0,1.9412
AKU75303.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75312.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75321.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75330.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75339.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75350.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75357.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75366.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75375.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75384.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75393.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75411.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75420.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75429.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75438.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75456.1 ___virion spike glycoprotein precursor,-0.3553,0.0,-0.1091,-0.2174,4.5125,0.7558,-0.637,2.5729,0.4,1.2969,-0.8639,-0.3739,-0.3875,-0.0302,0.8375,-0.7686,-0.4086,0.5313,0,5.125
AKU75465.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75474.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75483.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75492.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75501.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3539,0,1.9412
AKU75510.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75519.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.3806,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.3072,0,1.9412
AKU75537.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.7815,0.2605,1.0542,-0.8599,-0.3557,-0.4118,-0.0021,0.8207,-0.7619,-0.3915,0.4706,0,1.9412
AKU75546.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.7815,0.2605,1.0542,-0.8599,-0.3557,-0.4118,-0.0021,0.8207,-0.7619,-0.3915,0.4706,0,1.9412
AKU75564.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AKU75573.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AKU75582.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALD19447.1 ___virion spike glycoprotein precursor,-0.2583,0.0,-0.1277,-0.2298,4.6321,0.7939,-0.6662,2.859,0.3708,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.6092,-0.7467,-0.4348,0.3559,0,4.8407
ALF04542.1 ___virion spike glycoprotein precursor,-0.3697,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7537,-0.3915,0.4706,0,1.9412
ALF04551.1 ___virion spike glycoprotein precursor,-0.3697,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7537,-0.3915,0.4706,0,1.9412
ALH21186.1 ___virion spike glycoprotein precursor,-0.2583,0.0,-0.0898,-0.2619,4.6321,0.7939,-0.6662,2.859,0.3708,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.6092,-0.7467,-0.4348,0.3559,0,4.8407
ALH21195.1 ___virion spike glycoprotein precursor,-0.2583,0.0,-0.0898,-0.2619,4.6321,0.7939,-0.6662,2.9633,0.3708,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.6092,-0.7467,-0.4482,0.3559,0,4.8407
ALH21454.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4485,0.1405,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALH21463.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALN12279.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALO75889.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82615.1 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.406,0.4706,0,1.9412
ALR82624.1 ___virion spike glycoprotein precursor,-0.3366,0.0,0.0084,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.396,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82633.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82642.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.2566,4.6723,1.0075,-0.6265,2.6765,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7479,-0.3915,0.3072,0,1.9412
ALR82651.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82660.1 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.406,0.4706,0,1.9412
ALR82669.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82678.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82687.1 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4181,0,1.9412
ALR82696.1 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.406,0.4706,0,1.9412
ALR82705.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82714.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.3697,-0.0021,0.8908,-0.7696,-0.3915,0.4706,0,1.9412
ALR82723.1 ___virion spike glycoprotein precursor,-0.2923,0.0,-0.1215,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.406,0.4706,0,1.9412
ALR82732.1 ___virion spike glycoprotein precursor,-0.2923,0.0,-0.1215,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.406,0.4706,0,1.9412
ALR82741.1 ___virion spike glycoprotein precursor,-0.3176,0.0,-0.057,-0.1716,4.6186,0.6109,-0.6158,2.0254,0.2426,1.3771,-0.8559,-0.3373,-0.3949,0.0265,1.0169,-0.763,-0.3741,0.5667,0,0.2966
ALR82750.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82759.1 ___virion spike glycoprotein precursor,-0.2923,0.0,-0.1215,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.406,0.4706,0,1.9412
ALR82768.1 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4181,0,1.9412
ALR82777.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
ALR82786.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
